Coin,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
ZEREBRO,82.017888,55.41531606896552,12.70570265079365,28.364974631336406,11.364621554817276
ZETA,,15.749147904458598,,27.39074772151899,-1.5426433333333334
ZK,,1.96022186,,0.27426666666666666,
ZORA,,,,44.84547914473684,
ZRO,0.0,44.87893625,67.2718554117647,124.83984987239585,1446.8952208
kBONK,,50.27464945479451,24.736832833333334,-2.7242591226415094,0.8968721241379308
kFLOKI,,50.21681332258065,,15.543653999999998,4.08395
kNEIRO,,,,2.0399362500000002,-2.840308
kPEPE,0.23060041666666667,22.337975618996797,31.460104487012984,-14.880395993576018,-0.9510264875000001
kSHIB,0.0,8.83221,13.644264,0.0,0.5267
